"ID","Purchase","T.last","T.active","Loyalty","Service Failure","Total Profit","CL.spent","FW.spent","CF.spent","HW.spent","EL.spent","FR.spent","TO.spent","BS.spent","TG.spent","Socio.Economic","churn"
"159712","2","11.428571428571","22","0","0","130","0","10","52","51","45","0","243","0","15","1","1"
"173678","1","0","22.714285714286","0","0","67","0","0","12","60","0","0","144","0","0","9","1"
"187164","2","13.571428571429","23.714285714286","1","1","121","0","11","27","116","68","0","62","0","171","5","0"
"145986","23","24.857142857143","25.714285714286","1","1","1050","0","97","255","824","666","8","1330","0","174","9","0"
"7214","3","25.571428571429","28.428571428571","0","0","193","0","6","6","106","113","0","340","0","83","9","0"
"233598","13","28.857142857143","29.571428571429","1","0","359","0","90","119","215","124","0","502","0","153","5","0"
"18679","5","13.714285714286","21.714285714286","0","0","437","0","25","49","228","279","0","676","0","236","9","0"
"83076","27","29","30","0","1","2085","0","150","35","1873","720","0","3252","0","1226","7","0"
"87847","3","15","28.428571428571","0","1","116","0","10","0","24","27","0","124","176","0","10","1"
"101983","2","3.5714285714286","23.142857142857","0","0","62","0","13","33","42","35","0","66","0","0","10","1"
"78355","4","10.142857142857","30.142857142857","0","2","195","0","17","0","101","27","27","450","0","0","10","1"
"240566","21","27","27.714285714286","1","2","849","7","108","425","647","314","0","865","149","208","10","0"
"253736","4","10.285714285714","27.285714285714","1","0","238","0","13","3","146","143","0","381","0","129","8","0"
"128609","5","28","30","1","1","711","0","87","151","463","39","21","1488","0","68","4","0"
"25477","1","0","25.142857142857","1","0","60","0","6","3","19","15","0","151","0","0","9","1"
"24332","17","26.571428571429","29.571428571429","1","0","988","0","107","46","583","443","11","1910","0","105","9","1"
"185425","2","2","25.571428571429","0","0","60","0","4","12","57","16","0","74","0","49","6","0"
"96685","6","21","21.571428571429","0","0","263","0","32","46","157","142","0","307","0","274","3","0"
"36324","8","19.857142857143","26.142857142857","0","0","649","0","66","30","574","0","10","1269","36","226","10","0"
"154719","6","24.714285714286","26.714285714286","1","1","434","0","8","9","60","88","0","809","394","30","10","0"
"239998","1","0","25.142857142857","1","0","63","0","15","12","45","15","0","105","0","17","4","0"
"104773","18","28.428571428571","28.571428571429","0","0","1800","47","352","125","974","536","55","3450","0","420","9","0"
"196577","2","1.5714285714286","19.571428571429","1","0","111","0","2","10","99","51","0","190","0","3","1","1"
"259987","11","28.285714285714","30","1","1","797","0","56","0","199","13","60","2278","0","0","10","0"
"6165","7","14.571428571429","19.714285714286","1","0","666","0","224","20","380","334","1","1068","30","104","10","0"
"2971","1","0","24.428571428571","1","0","54","0","0","11","26","56","0","68","0","13","9","1"
"116786","2","2.5714285714286","22.571428571429","1","0","130","0","0","0","107","0","5","312","0","0","9","1"
"22074","3","16.571428571429","28.285714285714","1","0","119","0","1","7","108","9","0","259","0","0","5","0"
"152167","13","29.428571428571","30.285714285714","0","0","1158","0","56","58","1032","207","21","1978","167","363","9","0"
"241343","21","29.714285714286","30.142857142857","0","0","604","0","62","0","289","149","18","248","1082","0","3","0"
"205580","8","20","25","0","2","386","0","73","26","163","245","10","595","0","200","3","0"
"59708","1","0","19.571428571429","0","0","30","0","0","0","0","1","0","98","0","0","10","1"
"98687","4","11.428571428571","26.714285714286","1","0","327","6","47","71","207","82","0","541","0","168","7","0"
"101742","4","12","27.142857142857","1","0","127","0","3","57","104","53","0","173","0","11","6","0"
"224409","2","1","21.285714285714","1","0","92","0","2","1","50","25","0","210","0","20","6","1"
"213432","2","13","28.714285714286","1","0","305","0","7","0","111","0","0","884","0","12","6","1"
"237796","1","0","19","0","0","35","0","0","26","10","25","0","45","0","0","4","1"
"132035","4","5.8571428571429","29.428571428571","0","0","193","0","0","0","75","0","0","555","0","15","5","1"
"132190","27","29","29.428571428571","0","0","2145","0","324","207","909","1358","0","3713","13","510","8","0"
"123022","5","5.8571428571429","30.142857142857","1","1","300","0","19","31","227","75","0","582","0","59","3","1"
"52965","6","11","24.714285714286","0","0","246","0","19","51","183","112","0","368","0","79","9","0"
"231214","5","15.142857142857","21.428571428571","1","0","254","0","8","18","265","26","0","461","18","42","5","0"
"95249","4","11.285714285714","18.428571428571","0","0","316","0","9","18","104","35","0","835","0","61","9","1"
"64322","6","11.714285714286","19","0","0","369","5","29","35","280","148","31","577","0","103","8","1"
"254069","1","0","26","0","0","31","0","0","0","11","0","0","92","0","0","10","1"
"186833","25","29","29.142857142857","0","1","1009","0","252","59","392","579","5","1471","368","84","6","0"
"51067","2","21.285714285714","25.714285714286","1","0","81","0","15","14","58","46","0","105","0","27","7","0"
"70152","10","28","28.571428571429","1","0","634","0","0","0","201","0","21","1840","0","49","10","0"
"168197","27","28.142857142857","29.428571428571","1","2","1574","0","172","249","1357","617","27","2426","0","239","9","0"
"192281","26","29.142857142857","30.142857142857","0","0","679","0","0","0","82","827","0","946","0","493","9","0"
"45014","4","11","21.142857142857","0","0","284","0","12","48","134","198","0","415","0","160","8","0"
"119847","4","8.5714285714286","26.714285714286","0","0","189","0","9","31","183","3","0","357","17","14","4","1"
"41718","31","30","30.142857142857","1","2","1504","0","3","290","647","460","39","3132","38","374","6","0"
"70042","1","0","24.285714285714","1","0","51","0","4","0","50","24","0","82","0","0","6","1"
"131387","4","5","29.714285714286","0","0","162","0","9","0","77","41","0","384","0","31","9","0"
